,구별,CCTV댓수,최근증가율
1,종로구,"1,980",46.23
2,중 구,"2,584",53.54
3,용산구,"2,847",93.94
4,성동구,"4,047",36.58
5,광진구,"3,480",46.53
6,동대문구,"2,759",34.19
7,중랑구,"4,193",73.55
8,성북구,"4,842",25.96
9,강북구,"3,321",100.42
10,도봉구,"2,247",155.92
11,노원구,"2,617",40.85
12,은평구,"4,653",37.99
13,서대문구,"3,445",58.68
14,마포구,"2,628",29.08
15,양천구,"3,851",36.13
16,강서구,"3,265",70.76
17,구로구,"4,693",50.66
18,금천구,"2,636",60.83
19,영등포구,"4,553",81.54
20,동작구,"2,671",44.07
21,관악구,"5,398",26.12
22,서초구,"4,995",59.53
23,강남구,"7,243",35.69
24,송파구,"3,203",28.79
25,강동구,"3,190",74.79
