구분명,소재지도로명주소
안성시청,경기도 안성시 시청길 25
단원구청,경기도 안산시 단원구 중앙대로 685 (초지동)
안산시청,경기도 안산시 단원구 화랑로 387 (고잔동)
상록구청,경기도 안산시 상록구 석호로 110 (사동)
군포시청,경기도 군포시 청백리길 6
광주시청,경기도 광주시 행정타운로 50
장안구청,경기도 수원시 장안구 송원로 101
영통구청,경기도 수원시 영통구 효원로 407
권선구청,경기도 수원시 권선구 호매실로 12
수원시청,경기도 수원시 팔달구 효원로 241
팔달구청,경기도 수원시 팔달구 창룡대로 23
경기도청,경기도 수원시 영통구 도청로 30
안양시청,경기도 안양시 동안구 시민대로 235
동안구청,경기도 안양시 동안구 동안로 158 (비산동)
만안구청,경기도 안양시 만안구 안양로 128 (안양동)
파주시청,경기도 파주시 시청로 50
과천시청,경기도 과천시 관문로 69
덕양구청,경기도 고양시 덕양구 화중로104번길 13
일산서구청,경기도 고양시 일산서구 중앙로 1600
고양시청,경기도 고양시 덕양구 고양시청로 10
일산동구청,경기도 고양시 일산동구 중앙로 1256
하남시청,"경기도 하남시 대청로 10 (신장동,하남시청)"
의정부시청,경기도 의정부시 시민로 1
의정부시청 별관(도시농업과),경기도 의정부시 시민로416번길 113
의정부시청 별관(교통지도과),경기도 의정부시 의정로46번길 25
여주시청,경기도 여주시 세종로 1
화성시청,경기도 화성시 시청로 159
오산시청,경기도 오산시 성호대로 141 (오산동)
동두천시청,경기도 동두천시 방죽로 23
시흥시청,경기도 시흥시 시청로 20 (장현동)
남양주시청 제1청사,경기도 남양주시 경춘로 1037
남양주시청 제2청사,경기도 남양주시 경춘로 522
이천시청,경기도 이천시 부악로 40
양주시청,경기도 양주시 부흥로 1533
김포시청,경기도 김포시 사우중로 1
경제국 임시청사,경기도 김포시 사우중로 108
광명시청,경기도 광명시 시청로 20
구리시청,경기도 구리시 아차산로 439 (교문동)
성남시청,경기도 성남시 중원구 성남대로 997 (여수동)
수정구청,경기도 성남시 수정구 수정로 283 (신흥동)
분당구청,경기도 성남시 분당구 분당로 50 (수내동)
중원구청,경기도 성남시 중원구 제일로 36 (성남동)
용인시청,경기도 용인시 처인구 중부대로 1199 (삼가동)
기흥구청,경기도 용인시 기흥구 관곡로 95 (구갈동)
수지구청,경기도 용인시 수지구 포은대로 435 (풍덕천동)
처인구청,경기도 용인시 처인구 금령로 50 (김량장동)
의왕시청,경기도 의왕시 시청로 11 (고천동)
평택시청,경기도 평택시 경기대로 245 (비전동)
포천시청,경기도 포천시 중앙로 87 (신읍동)
